"Laikotarpis","BVP"
"2022K4","6199.1"
"2022K3","6599.9"
"2022K2","5812.8"
"2022K1","5190.4"
"2021K4","5384.7"
"2021K3","5489.6"
"2021K2","4924.4"
"2021K1","4311.8"
"2020K4","4673.0"
"2020K3","4860.7"
"2020K2","4228.0"
"2020K1","4082.7"
"2019K4","4616.4"
"2019K3","4677.8"
"2019K2","4356.2"
"2019K1","3871.6"
"2018K4","4304.3"
"2018K3","4337.6"
"2018K2","4030.6"
"2018K1","3574.1"
"2017K4","3894.8"
"2017K3","4050.1"
"2017K2","3709.2"
"2017K1","3293.0"
"2016K4","3524.5"
"2016K3","3651.5"
"2016K2","3396.8"
"2016K1","2986.1"
"2015K4","3317.0"
"2015K3","3487.6"
"2015K2","3224.5"
"2015K1","2826.9"
"2014K4","3166.5"
"2014K3","3376.0"
"2014K2","3140.5"
"2014K1","2792.0"
"2013K4","3045.4"
"2013K3","3222.9"
"2013K2","2970.0"
"2013K1","2608.6"
"2012K4","2877.2"
"2012K3","3005.0"
"2012K2","2790.9"
"2012K1","2509.2"
"2011K4","2657.9"
"2011K3","2763.1"
"2011K2","2637.7"
"2011K1","2283.5"
"2010K4","2352.0"
"2010K3","2370.0"
"2010K2","2300.0"
"2010K1","2029.2"
"2009K4","2099.0"
"2009K3","2154.9"
"2009K2","2230.9"
"2009K1","2019.0"
"2008K4","2593.6"
"2008K3","2730.4"
"2008K2","2649.6"
"2008K1","2238.3"
"2007K4","2473.3"
"2007K3","2422.2"
"2007K2","2218.5"
"2007K1","1864.2"
"2006K4","2045.3"
"2006K3","1972.6"
"2006K2","1798.4"
"2006K1","1539.6"
"2005K4","1761.5"
"2005K3","1676.7"
"2005K2","1556.2"
"2005K1","1320.0"
